id,ENAME,Last Name,Address,salary,Gross salary,Net Salary,
698,Emmeline,Frizzell,Linköping,10000,10000,10000,
1,Annemarie,McEnery,Meikeng,10000,10000,10000,
588,Annadiane,Titchmarsh,Bayt Yāshūţ,10000,10000,10000,
351,Charley,Bigmore,Ciputat,10000,10000,10000,
193,Francine,Junes,Al Ḩumaydāt,10000,10000,10000,
97,Allyn,Spilstead,Belsk Duży,10000,10000,10000,
291,Lynsey,Mochar,Miatli,10000,10000,10000,
884,Agnese,Worrill,Sumber,10000,10000,10000,
621,Laetitia,Sibborn,Maralal,10000,10000,10000,
911,Alidia,Kinnock,Bairro Assunção Piedade,10000,10000,10000,
591,Tabina,Klinck,Gulbene,10000,10000,10000,
822,Reider,Chantrell,Randfontein,10000,10000,10000,
522,Thacher,Dyble,Gerong,10000,10000,10000,
251,Caspar,Tammadge,Kratovo,10000,10000,10000,
862,Jerry,Yearn,Loma,10000,10000,10000,
628,Anallise,Obern,Zombo,10000,10000,10000,
752,Barnaby,Podmore,Kukoboy,10000,10000,10000,
761,Ethelred,Hincham,Zamora,10000,10000,10000,
407,Teriann,Sipson,Zadní Mostek,10000,10000,10000,
339,Glynda,Milson,Zhongcun,10000,10000,10000,
315,Geneva,Beynon,Roubaix,10000,10000,10000,
607,Homerus,Towll,Tvŭrditsa,10000,10000,10000,
412,Catrina,Grolmann,Salto,10000,10000,10000,
568,Bealle,Deegan,Fiorentino,10000,10000,10000,
595,Anselma,Loidl,Badu,10000,10000,10000,
177,Fabian,MacTeague,Xintian,10000,10000,10000,
996,Cammy,Sawyer,Ḩabīl al Jabr,10000,10000,10000,
18,Averell,Eary,Banjiang,10000,10000,10000,
26,Sargent,Brecon,Sindangjati,10000,10000,10000,
468,Antonio,Coulthurst,Rio de Moinhos,10000,10000,10000,
875,Jenna,Dimitriev,Maní,10000,10000,10000,
417,Maighdiln,Ivanyushin,Maksatikha,10000,10000,10000,
694,Wes,Kembrey,Jabon,10000,10000,10000,
215,Carly,Gilpin,Belmullet,10000,10000,10000,
694,Lannie,Cove,Ōmagari,10000,10000,10000,
844,Skippie,Maidlow,Lancheng,10000,10000,10000,
326,Eleonore,Ebdin,Gaïtánion,10000,10000,10000,
956,Livvyy,Wrightson,Pirca,10000,10000,10000,
508,Risa,Swadon,Cairima,10000,10000,10000,
947,Cello,Olney,Chiang Khan,10000,10000,10000,
305,Phillie,Tadd,Aghada,10000,10000,10000,
473,Dalia,Shorto,Mangarine,10000,10000,10000,
968,Jaime,Hawtrey,Norton,10000,10000,10000,
846,Ettie,Weale,Buyant,10000,10000,10000,
336,Davie,Hemphall,Georgīevka,10000,10000,10000,
356,Marlyn,Tappor,Pavino,10000,10000,10000,
566,Kynthia,Dove,Sanxi,10000,10000,10000,
657,Arin,Gonzalvo,Nagornyy,10000,10000,10000,
103,Gannon,Dibbert,Stochov,10000,10000,10000,
794,Marijn,Jedraszczyk,Paraparaumu,10000,10000,10000,
121,Blythe,Gailor,Liangshui,10000,10000,10000,
318,Sharline,Mursell,Batudulang,10000,10000,10000,
64,Lanni,Inseal,Chư Sê,10000,10000,10000,
665,Kassie,Booeln,Shalushka,10000,10000,10000,
370,Luce,Blaymires,San Pedro Carchá,10000,10000,10000,
442,Zorana,Dagleas,Comagascas,10000,10000,10000,
982,Lynnet,Moncarr,Saint-Chamond,10000,10000,10000,
501,Valaria,Huxton,Bentengjawa,10000,10000,10000,
444,Jeanie,Lingard,Monkayo,10000,10000,10000,
428,Alys,Prise,Torrijos,10000,10000,10000,
609,Winston,Andrez,Ar Rass,10000,10000,10000,
138,Kelsy,Craigie,San Matías,10000,10000,10000,
603,Fidole,Lewnden,Szombathely,10000,10000,10000,
320,Brad,Dooler,Savanna-la-Mar,10000,10000,10000,
617,Yancy,Gossington,Taza,10000,10000,10000,
38,Fernando,Eastment,Alkmaar,10000,10000,10000,
600,Essa,Killby,Damaishan,10000,10000,10000,
570,Herman,Ronchetti,Kirovs’k,10000,10000,10000,
67,Eugenius,Rosthorn,Kadumelati,10000,10000,10000,
698,Rebekah,Sach,Gaokan,10000,10000,10000,
41,Lulita,Tandey,Paris 15,10000,10000,10000,
375,Vernor,Ruslin,Pentéli,10000,10000,10000,
204,Nowell,Conner,Carleton-sur-Mer,10000,10000,10000,
800,Robbi,Dyment,Tartouss,10000,10000,10000,
18,Diahann,Beament,Frankfort,10000,10000,10000,
24,Lane,Gadaud,Mlanggeng,10000,10000,10000,
789,Delmer,Deans,Falkenberg,10000,10000,10000,
380,Rabi,Lewing,Estombar,10000,10000,10000,
268,Ida,Logue,Vatutino,10000,10000,10000,
483,Thia,Pettinger,Delft,10000,10000,10000,
571,Annabal,Bratty,Ol’ginka,10000,10000,10000,
691,Pat,Scandwright,Čeladná,10000,10000,10000,
453,Ozzie,Scain,Zaghouan,10000,10000,10000,
252,Jenilee,Larkcum,Fuzihe,10000,10000,10000,
686,Isa,Millican,Poá,10000,10000,10000,
229,Pacorro,Belding,Qijiazuo,10000,10000,10000,
79,Tremaine,Hubbock,Sumqayıt,10000,10000,10000,
31,Stormi,Queree,Porta,10000,10000,10000,
73,Carleton,Breming,Dzuunmod,10000,10000,10000,
264,Fawne,Castree,Oruro,10000,10000,10000,
976,Foss,Challice,Kalahang,10000,10000,10000,
300,Chlo,Hussey,Gapuk,10000,10000,10000,
212,Guillermo,Yakebovitch,Purranque,10000,10000,10000,
859,Gary,Glascott,Clarence-Rockland,10000,10000,10000,
763,Michele,Saladin,Pocohuanca,10000,10000,10000,
199,Blisse,Tindall,Qandala,10000,10000,10000,
920,Pansy,Matusovsky,Xingfeng,10000,10000,10000,
593,Devinne,Foale,Wang Sam Mo,10000,10000,10000,
900,Carmella,Boulding,Kipushi,10000,10000,10000,
536,Baily,Norssister,Dobrzeń Wielki,10000,10000,10000,
886,Clare,Gallyhaock,Haukivuori,10000,10000,10000,
35,Helaine,Alphege,Australia Square,10000,10000,10000,
874,Maxie,Rockcliff,Tucuran,10000,10000,10000,
211,Florenza,Vanes,Kobayashi,10000,10000,10000,
83,Saraann,Groom,Montauban,10000,10000,10000,
194,Avis,Emmerson,Seara,10000,10000,10000,
213,Carolus,Wiles,Örebro,10000,10000,10000,
587,Eolande,Ilem,Jargalant,10000,10000,10000,
105,Shir,Test,Semey,10000,10000,10000,
278,Jeramey,Buglar,Edson,10000,10000,10000,
83,Ulick,Goodboddy,Oslo,10000,10000,10000,
83,Octavius,Yedy,Dalang,10000,10000,10000,
848,Elvina,Lithcow,Xiehu,10000,10000,10000,
509,Malvin,Vasyunin,Kolirerek,10000,10000,10000,
430,Drucy,Biernat,Pinhal Novo,10000,10000,10000,
936,Scott,Bark,Teresa,10000,10000,10000,
73,Florance,Iglesia,Fauske,10000,10000,10000,
228,Sandye,Crossan,Tsybli,10000,10000,10000,
56,Melly,Mathewson,Akouda,10000,10000,10000,
77,Maisie,Megarry,Herrera,10000,10000,10000,
108,Mack,Cropton,Ramana,10000,10000,10000,
939,Orson,Lardner,Sanbao,10000,10000,10000,
375,Hersch,Steinor,Floda,10000,10000,10000,
583,Nannie,Schroeder,Oeleu,10000,10000,10000,
87,Randi,Hallwell,Ixopo,10000,10000,10000,
600,Barbara,Roullier,Jedlina-Zdrój,10000,10000,10000,
407,Carlita,Billam,Ciperang,10000,10000,10000,
631,Ingamar,Gyrgorwicx,Matara,10000,10000,10000,
852,Chris,Fairbrace,Fangtian,10000,10000,10000,
501,Devinne,Skeggs,Zalewo,10000,10000,10000,
21,Melisent,Moscon,Potrerillos,10000,10000,10000,
158,Harris,Foukx,Tula,10000,10000,10000,
800,Betta,Decker,Nice,10000,10000,10000,
397,Beltran,Dashkov,Eirado,10000,10000,10000,
711,Leeanne,Commuzzo,Chơn Thành,10000,10000,10000,
466,Sibley,Ashmole,Zhuxi Chengguanzhen,10000,10000,10000,
676,Dolf,Mayward,Nový Knín,10000,10000,10000,
449,Dania,Houson,Dangmu,10000,10000,10000,
184,Laverne,Noden,Craigavon,10000,10000,10000,
227,Renee,Granham,Chunhua,10000,10000,10000,
2,Janis,Tulley,Mirandopólis,10000,10000,10000,
350,Averil,Hughland,Esquina,10000,10000,10000,
583,Bennie,Dewing,Sang-e Chārak,10000,10000,10000,
797,Donnie,Kunzel,Nantang,10000,10000,10000,
759,Willyt,Galvan,Qizhen,10000,10000,10000,
331,Mindy,Dowderswell,Nicoya,10000,10000,10000,
81,Drona,Ossenna,Mayrtup,10000,10000,10000,
870,Lavina,Ewbanche,Wellington,10000,10000,10000,
90,Robin,Eadmeads,Resapombo,10000,10000,10000,
965,Janey,Ellerker,Fonte da Vaca,10000,10000,10000,
527,Dale,Obin,Baitoa,10000,10000,10000,
557,Amerigo,Foucher,Yangjia,10000,10000,10000,
278,Devlin,Netley,Kujung,10000,10000,10000,
53,Emmye,Clynman,Monastyrshchina,10000,10000,10000,
555,Ave,Saffin,Lucas,10000,10000,10000,
696,Yulma,Bickerton,Emporeío,10000,10000,10000,
510,Mab,Tirrey,Sufang,10000,10000,10000,
797,Hewett,Sorensen,Khāliş,10000,10000,10000,
323,Jeno,Ianitti,Ettal,10000,10000,10000,
262,Thorndike,Senechell,Balakhninskiy,10000,10000,10000,
61,Georgetta,Willerton,Fengdian,10000,10000,10000,
342,Effie,Balmann,Žabčice,10000,10000,10000,
634,Shoshanna,Aizic,Shawnee Mission,10000,10000,10000,
728,Serene,de Cullip,Quiñota,10000,10000,10000,
357,Gail,Maplesden,Skänninge,10000,10000,10000,
277,Shara,Liversidge,Las Heras,10000,10000,10000,
691,Gladi,Fysh,Awayan,10000,10000,10000,
28,Shir,Runnacles,Pouso Alegre,10000,10000,10000,
742,Huey,McIlwrick,Kebonkaret,10000,10000,10000,
782,Caitlin,Earley,Pimenta Bueno,10000,10000,10000,
874,Sindee,Cruz,Austin,10000,10000,10000,
969,Wenonah,Martijn,Jiangkou,10000,10000,10000,
672,Thorn,Gonthier,Yaroslavskaya,10000,10000,10000,
159,Maddy,Witchalls,El Corozo,10000,10000,10000,
